Image,Brand,Polish,Color,Finishes/Types,Link,Coats,Rating,Notes
,Formula X,A+,Pink,"Creme, Mini, Duplicate",https://www.temptalia.com/product/formula-x-nail-lacquer/a/,,,
,Formula X,A+,Pink,Creme,https://www.temptalia.com/product/formula-x-nail-lacquer/a/,,,
,Formula X,Astronomical,Beige,"Creme, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Dramatic,Purple,"Creme, Mini",,,,
,Formula X,Fathom,Blue,"Creme, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Galaxy,Blue,"Glitter, Flakie",https://www.vampyvarnish.com/2013/12/formula-x-sephora-effects-nail-color-swatches-review/,,,
,Formula X,Gemini,Pink,"Creme, Mini",https://www.doseoflola.com/2014/03/formula-x-for-sephora-gemini-harmonics.html,,,
,Formula X,Ignite,Red,"Creme, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Illusionary,White,"Frost, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Mischevious,Multi,"Glitter, Duochrome, Shimmer",https://serendipitypot.com/formula-x/,,,
,Formula X,Monumental,Beige,"Creme, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Perfection,Gray,"Creme, Mini, Duplicate",https://www.temptalia.com/formula-x-sephora-nail-lacquer-review-photos-swatches/,,,
,Formula X,Perfection,Gray,Creme,https://www.temptalia.com/formula-x-sephora-nail-lacquer-review-photos-swatches/,,,
,Formula X,Perfection,Gray,"Creme, Mini, Duplicate",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Pyrotechnic,Red,"Creme, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Singularity,Gray,"Shimmer, Matte",https://imabeautygeek.com/2014/07/22/formula-x-brushed-metallics-fall-2014/,,,
,Formula X,Starlight,Gold,"Glitter, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Umph,Gray,"Metallic, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,UR Square,Beige,"Shimmer, Glitter, Textured",https://www.manicuremanifesto.com/2019/12/brand-challenge-sephora-formula-x.html,,,
,Formula X,White Matter,White,"Creme, Mini",http://www.thehappysloths.com/2014/10/formula-x-paint-town-22-piece-mini-nail-polish-set-review-swatches.html,,,
,Formula X,Wunderkind,Blue,"Shimmer, Mini",https://thebeautylookbook.com/2014/06/sephora-formula-x-wunderkind.html,,,
,Gabriel,Tahitian Orchid,Purple,Metallic,,,,
,Glisten & Glow,HK Girl,Clear,Top Coat,https://www.glistenandglow.com/product/glisten-glow-top-coat,,,
,Glisten & Glow,Glitter Grabber,Clear,Top Coat,https://www.glistenandglow.com/product/glisten-glow-glitter-grabber,,,
,Glisten & Glow,I Do! Crew,White,"Crelly, Flakie",https://www.glistenandglow.com/product/glisten-glow-i-do-crew,,,
,Glisten & Glow,Stalagmites & Stalactites at Skyline,Purple,"Shimmer, Shifty",https://www.glistenandglow.com/product/glisten-glow-stalagmites-stalactites-at-skyline,,,
,Glisten & Glow,Top Coat,Clear,"Top Coat, Duplicate",https://www.glistenandglow.com/product/glisten-glow-top-coat,1,A+,
